Events	Group	Values	Grade	actual_values	Grade_com
Esophageal perforation	nCRT_vs_nIT	0	G12	3.053435115	Grade 1-2
Any	nCRT_vs_nIT	0	G34	0	Grade >3
Vomiting	nCRT_vs_nIT	0.763358779	G34	0.763358779	Grade >3
Granulocytopenia	nCRT_vs_nIT	7.633587786	G34	7.633587786	Grade >3
Anorexia	nCRT_vs_nIT	0.763358779	G34	0.763358779	Grade >3
Anemia	nCRT_vs_nIT	0	G34	0	Grade >3
Thrombocytopenia	nCRT_vs_nIT	0	G34	0	Grade >3
Liver dysfunction	nCRT_vs_nIT	0.763358779	G34	0.763358779	Grade >3
Fatigue	nCRT_vs_nIT	0	G34	0	Grade >3
Constipation	nCRT_vs_nIT	0	G34	0	Grade >3
Diarrhea	nCRT_vs_nIT	0	G34	0	Grade >3
Fever without infection	nCRT_vs_nIT	0	G34	0	Grade >3
Pneumonia	nCRT_vs_nIT	2.290076336	G34	2.290076336	Grade >3
Radiation esophagitis	nCRT_vs_nIT	0	G34	0	Grade >3
Esophageal perforation	nCRT_vs_nIT	3.053435115	G34	3.053435115	Grade >3
Any	nCRT_vs_nIT	80	nIT	80	Grade 1-2
Vomiting	nCRT_vs_nIT	8	nIT	8	Grade 1-2
Granulocytopenia	nCRT_vs_nIT	4	nIT	4	Grade 1-2
Anorexia	nCRT_vs_nIT	32	nIT	32	Grade 1-2
Anemia	nCRT_vs_nIT	4	nIT	4	Grade 1-2
Thrombocytopenia	nCRT_vs_nIT	0	nIT	0	Grade 1-2
Liver dysfunction	nCRT_vs_nIT	4	nIT	4	Grade 1-2
Fatigue	nCRT_vs_nIT	16	nIT	16	Grade 1-2
Constipation	nCRT_vs_nIT	0	nIT	0	Grade 1-2
Diarrhea	nCRT_vs_nIT	0	nIT	0	Grade 1-2
Fever without infection	nCRT_vs_nIT	0	nIT	0	Grade 1-2
Pneumonia	nCRT_vs_nIT	0	nIT	0	Grade 1-2
Radiation esophagitis	nCRT_vs_nIT	0	nIT	0	Grade 1-2
Esophageal perforation	nCRT_vs_nIT	0	nIT	0	Grade 1-2
